year,energy,danceability
1921,0.23181513333333334,0.4185973333333333
1922,0.23781535211267604,0.4820422535211268
1923,0.2624064864864865,0.5773405405405405
1924,0.34434661016949153,0.5498940677966102
1925,0.2785935251798561,0.573863309352518
1926,0.21146709071117561,0.5998802612481857
1927,0.26432130081300814,0.6482682926829268
1928,0.2079477954004758,0.5342878667724028
1929,0.24180073529411764,0.6476698529411764
1930,0.3335239189189189,0.5181758835758836
1931,0.23449677329192548,0.5952217391304347
1932,0.30206772908366536,0.5577976095617531
1933,0.27989942112879884,0.5702903039073807
1934,0.26213131487889274,0.5287058823529411
1935,0.24636697628458498,0.5558691699604743
1936,0.3083886092727273,0.5580055454545455
1937,0.31104829528158295,0.5421572298325723
1938,0.28098123980424144,0.4799779771615008
1939,0.28267149999999996,0.5126828
1940,0.310892895,0.52189235
1941,0.2656431979166667,0.48048135416666665
1942,0.25607947086801425,0.4646338882282996
1943,0.27999004225352114,0.45514563380281686
1944,0.2534414494680851,0.5001744680851063
1945,0.22604441549999998,0.51914315
1946,0.22217230858468678,0.41444501160092806
1947,0.2635512,0.47132084848484845
1948,0.24246484105263158,0.46336947368421055
1949,0.246114615,0.4421994
1950,0.31407119499999997,0.5042531
1951,0.254665655,0.4624801
1952,0.25362601,0.4570322
1953,0.26619683076923073,0.4374260512820513
1954,0.264347385,0.46563889999999997
1955,0.29509634,0.4881312
1956,0.30476112,0.4878145
1957,0.29527913333333333,0.5034812307692308
1958,0.308795755,0.4800214
1959,0.3109944051282051,0.4821143076923077
1960,0.34114237837837835,0.4860292432432432
1961,0.33953186736842106,0.4891655789473684
1962,0.3710257,0.4931643684210526
1963,0.365353885,0.48162135
1964,0.3944388256410256,0.5041769743589744
1965,0.44902724615384615,0.5034505641025642
1966,0.482208465,0.5070205
1967,0.446823831915958,0.49268859429714856
1968,0.45696965,0.5010081000000001
1969,0.48762513,0.4880978
1970,0.49563305,0.5063075
1971,0.496361255,0.50427385
1972,0.50452618,0.52099945
1973,0.5361382499999999,0.51544945
1974,0.5147236550000001,0.51533975
1975,0.5232085049999999,0.5209980000000001
1976,0.55384325,0.5297625
1977,0.560287959,0.5333237000000001
1978,0.561428865,0.5407746
1979,0.591012715,0.5620453
1980,0.5977773948717948,0.556152358974359
1981,0.599382725,0.5421847000000001
1982,0.5909193895,0.5642594000000001
1983,0.601425235,0.5456293
1984,0.591091675,0.53030895
1985,0.60151548,0.5556424
1986,0.6149546,0.5409334
1987,0.5798395538461538,0.5410193333333333
1988,0.5856792461538463,0.5404594358974358
1989,0.584046375,0.54722745
1990,0.571591395,0.53529865
1991,0.5594023641025642,0.555824358974359
1992,0.582864205,0.5550648499999999
1993,0.5625599099999999,0.56987815
1994,0.578772685,0.55282995
1995,0.5785795100000001,0.55904575
1996,0.586068475,0.5878306
1997,0.5986987151,0.57681385
1998,0.605197505,0.58621165
1999,0.6375226022552537,0.5821579190158892
2000,0.6254128323108386,0.5909180470347649
2001,0.6269855221945138,0.5833178553615961
2002,0.641269796,0.5761603
2003,0.6601652610030706,0.5757633060388946
2004,0.6488679450661241,0.5676803662258393
2005,0.6532085112820513,0.5722805641025641
2006,0.6503262820512821,0.5682301538461538
2007,0.6683047743589744,0.5634143589743589
2008,0.6714608207672634,0.5791928388746803
2009,0.6707487551020409,0.5641903571428571
2010,0.6817778026289683,0.5724883432539682
2011,0.6483008934060486,0.552866980664353
2012,0.6565714601542417,0.5708818508997429
2013,0.6455968914473684,0.5711480263157895
2014,0.6487954437905238,0.589947680798005
2015,0.6270642715298885,0.5937740628166159
2016,0.5928552316082359,0.6002023928770172
2017,0.5904210208835341,0.6122170180722891
2018,0.6024346220161674,0.6635004755111745
2019,0.5932240360184711,0.6448141097998974
2020,0.6312316354679803,0.6929043349753695
