year,liveness
1921,0.20571
1922,0.24071971830985917
1923,0.22746216216216217
1924,0.23521906779661017
1925,0.23766798561151076
1926,0.23236959361393325
1927,0.16845024390243904
1928,0.17528937351308485
1929,0.23600021008403363
1930,0.2213108627858628
1931,0.227427950310559
1932,0.2324962151394422
1933,0.20907192474674388
1934,0.21345259515570936
1935,0.22929986824769433
1936,0.22143827272727273
1937,0.22596773211567733
1938,0.2371110929853181
1939,0.2391016
1940,0.2643351
1941,0.20183989583333334
1942,0.21287841854934603
1943,0.2392107042253521
1944,0.2387719414893617
1945,0.20300995
1946,0.2108183294663573
1947,0.2238293939393939
1948,0.21969357894736843
1949,0.20885855
1950,0.21695840000000002
1951,0.2177774
1952,0.2329723
1953,0.2217340512820513
1954,0.21784115
1955,0.22143535
1956,0.18225715
1957,0.1827485641025641
1958,0.20584085
1959,0.19184292307692308
1960,0.20786372972972972
1961,0.20891257894736842
1962,0.20189573684210527
1963,0.2037453
1964,0.21723235897435897
1965,0.21383912820512818
1966,0.21809309999999998
1967,0.19091765882941472
1968,0.21735095000000001
1969,0.2069659
1970,0.2122688
1971,0.21491454999999998
1972,0.20695495
1973,0.20137475000000002
1974,0.20934635000000001
1975,0.21544135
1976,0.24903219999999998
1977,0.22321405
1978,0.21807095
1979,0.2134431
1980,0.20375410256410256
1981,0.2250999
1982,0.20100675
1983,0.19892245
1984,0.1977062
1985,0.19920644999999998
1986,0.21187945
1987,0.20201810256410255
1988,0.20770753846153844
1989,0.19908019999999998
1990,0.19096090000000002
1991,0.18862892307692306
1992,0.2002455
1993,0.19493225
1994,0.1921651
1995,0.2013737
1996,0.19868629999999998
1997,0.1984788
1998,0.19373089999999998
1999,0.20630804715530499
2000,0.19768604294478528
2001,0.18702563591022445
2002,0.1939112
2003,0.19697630501535313
2004,0.2021994404883011
2005,0.19008162564102565
2006,0.18828928205128206
2007,0.1961265641025641
2008,0.19843140664961637
2009,0.20525229591836733
2010,0.19970064484126984
2011,0.20330882498760536
2012,0.18973300771208226
2013,0.1996308198380567
2014,0.19182159600997506
2015,0.1888564336372847
2016,0.18116989426822483
2017,0.19171260040160643
2018,0.1763255349500713
2019,0.17261641867624422
2020,0.17853541871921183
