year,danceability,valence
1921,0.4185973333333333,0.37932666666666665
1922,0.4820422535211268,0.5355492957746479
1923,0.5773405405405405,0.6254924324324325
1924,0.5498940677966102,0.6637254237288135
1925,0.573863309352518,0.6219287769784172
1926,0.5998802612481857,0.4369104571843251
1927,0.6482682926829268,0.659700487804878
1928,0.5342878667724028,0.49571268834258525
1929,0.6476698529411764,0.6365298319327731
1930,0.5181758835758836,0.61623762993763
1931,0.5952217391304347,0.5131170807453417
1932,0.5577976095617531,0.5881599601593626
1933,0.5702903039073807,0.59940998552822
1934,0.5287058823529411,0.5588046712802768
1935,0.5558691699604743,0.5455777997364953
1936,0.5580055454545455,0.5640635454545455
1937,0.5421572298325723,0.5857894977168949
1938,0.4799779771615008,0.5149111092985318
1939,0.5126828,0.5599249
1940,0.52189235,0.61670947
1941,0.48048135416666665,0.47945604166666667
1942,0.4646338882282996,0.4774088585017836
1943,0.45514563380281686,0.4954545070422535
1944,0.5001744680851063,0.5406954787234043
1945,0.51914315,0.49136135000000003
1946,0.41444501160092806,0.3982538283062645
1947,0.47132084848484845,0.5082125454545454
1948,0.46336947368421055,0.46214236842105266
1949,0.4421994,0.4304195
1950,0.5042531,0.5516497
1951,0.4624801,0.44134755000000003
1952,0.4570322,0.44313496205
1953,0.4374260512820513,0.4291420512820513
1954,0.46563889999999997,0.45234105
1955,0.4881312,0.4724155
1956,0.4878145,0.50842305
1957,0.5034812307692308,0.5110101538461538
1958,0.4800214,0.4976615
1959,0.4821143076923077,0.478415641025641
1960,0.4860292432432432,0.5239316756756757
1961,0.4891655789473684,0.5128512105263158
1962,0.4931643684210526,0.547792052631579
1963,0.48162135,0.54152745
1964,0.5041769743589744,0.5572604205128204
1965,0.5034505641025642,0.5809506666666667
1966,0.5070205,0.58014455
1967,0.49268859429714856,0.550791695847924
1968,0.5010081000000001,0.56599365
1969,0.4880978,0.554745285
1970,0.5063075,0.5720753999999999
1971,0.50427385,0.5749132499999999
1972,0.52099945,0.59568815
1973,0.51544945,0.5921162000000001
1974,0.51533975,0.5812744
1975,0.5209980000000001,0.5694151500000001
1976,0.5297625,0.58073325
1977,0.5333237000000001,0.5852465499999999
1978,0.5407746,0.5895352500000001
1979,0.5620453,0.6099818
1980,0.556152358974359,0.5980580512820513
1981,0.5421847000000001,0.58295185
1982,0.5642594000000001,0.58643845
1983,0.5456293,0.5721199
1984,0.53030895,0.55163871
1985,0.5556424,0.56559645
1986,0.5409334,0.55094855
1987,0.5410193333333333,0.5414511794871795
1988,0.5404594358974358,0.5464853897435897
1989,0.54722745,0.5483329
1990,0.53529865,0.52652685
1991,0.555824358974359,0.5486552307692307
1992,0.5550648499999999,0.5590983
1993,0.56987815,0.55556845
1994,0.55282995,0.52664915
1995,0.55904575,0.5302467000000001
1996,0.5878306,0.56087325
1997,0.57681385,0.5485525
1998,0.58621165,0.5377209000000001
1999,0.5821579190158892,0.5564528446950282
2000,0.5909180470347649,0.5594754601226994
2001,0.5833178553615961,0.5414791072319202
2002,0.5761603,0.54239715
2003,0.5757633060388946,0.5305042476970317
2004,0.5676803662258393,0.5244885554425229
2005,0.5722805641025641,0.5325309230769232
2006,0.5682301538461538,0.5200283076923077
2007,0.5634143589743589,0.5167938461538462
2008,0.5791928388746803,0.5275418925831202
2009,0.5641903571428571,0.5071696617346939
2010,0.5724883432539682,0.5208951587301587
2011,0.552866980664353,0.4724536787307883
2012,0.5708818508997429,0.46270901285347044
2013,0.5711480263157895,0.4547411943319838
2014,0.589947680798005,0.46304877805486283
2015,0.5937740628166159,0.4320983687943262
2016,0.6002023928770172,0.43153205898720093
2017,0.6122170180722891,0.4164763112449799
2018,0.6635004755111745,0.44792127436994766
2019,0.6448141097998974,0.4588176295536172
2020,0.6929043349753695,0.5010478078817734
